title,release_year,genres,vote_average,overview
Blood Into Wine,2010,Documentary,6.5,"Music fans know Maynard James Keenan as the frontman of such bands as Tool, A Perfect Circle, and Puscifer, but in this documentary filmmakers Christopher Pomerenke and Ryan Page offer a closer look at one of the prolific rocker's more unexpected hobbies -- winemaking. Along with his business partner Eric Glomski, Keenan has managed to transform an arid stretch of Arizona desert into a lush vineyard that yields some particularly tasty grapes. Through unguarded conversations with Keenan and Glomski, Pomerenke and Page discover just what got the pair interested in winemaking, and why they chose such a hostile natural environment to serve as the site of their winery."
If God Is Willing and da Creek Don't Rise,2010,Documentary,10.0,"In 2006, director Spike Lee created an astonishing record of the cataclysmic effects of Hurricane Katrina on the city of New Orleans with his epic award-winning documentary, When the Levees Broke. Five years later, Lee returns to New Orleans, to see how the ambitious plans to reinvent the Crescent City were playing out. He finds a patchwork of hope and heartache just as a new disaster unfolds. The four-hour documentary is a continuation of the heart-rending story of destruction and rebirth of America's most unique city."
Elephants Dream,2006,"Animation, Science Fiction",6.0,"Emo and Proog are on a journey in the folds of a giant Machine, exploring the twisted and dark complex of wires, gears and cogs. Until one moment a conflict arises that throws out all their assumptions. This is the world's first open source movie, created using the FOSS program Blender."
Gasland,2010,Documentary,7.4,"It is happening all across America-rural landowners wake up one day to find a lucrative offer from an energy company wanting to lease their property. Reason? The company hopes to tap into a reservoir dubbed the ""Saudi Arabia of natural gas."" Halliburton developed a way to get the gas out of the ground-a hydraulic drilling process called ""fracking""-and suddenly America finds itself on the precipice of becoming an energy superpower."
Visual Acoustics,2009,Documentary,7.8,"Visual Acoustics celebrates the life and career of Julius Shulman, the world's greatest architectural photographer, whose images brought modern architecture to the American mainstream. Shulman, who passed away this year, captured the work of nearly every modern and progressive architect since the 1930s including Frank Lloyd Wright, Richard Neutra, John Lautner and Frank Gehry. His images epitomized the singular beauty of Southern California's modernist movement and brought its iconic structures to the attention of the general public. This unique film is both a testament to the evolution of modern architecture and a joyful portrait of the magnetic, whip-smart gentleman who chronicled it with his unforgettable images."
Machete,2010,"Action, Comedy, Thriller",6.3,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
Step Up 3D,2010,"Drama, Romance",6.6,"A tight-knit group of New York City street dancers, including Luke and Natalie, team up with NYU freshman Moose, and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever."
Off and Running,2009,Documentary,6.0,"With white Jewish lesbians for parents and two adopted brothers - one mixed-race and one Korean-Brooklyn teen Avery grew up in a unique and loving household. But when her curiosity about her African-American roots grows, she decides to contact her birth mother. This choice propels Avery into her own complicated exploration of race, identity, and family that threatens to distance her from the parents she's always known. She begins staying away from home, starts skipping school, and risks losing her shot at the college track career she had always dreamed of. But when Avery decides to pick up the pieces of her life and make sense of her identity, the results are inspiring. OFF AND RUNNING follows Avery to the brink of adulthood, exploring the strength of family bonds and the lengths people must go to become themselves."
The Wedding Song,2008,"Drama, Foreign",7.1,The Nazi occupation of Tunisia strains the bonds of friendship between a Muslim woman and a Sephardic Jewess who are both preparing for their marriages.
Going the Distance,2010,"Comedy, Drama, Romance",6.0,"Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good."
Bananaz,2008,"Documentary, Music",8.0,"A documentary on the cryptic cartoon band, Gorillaz. From 2000-2006 director Ceri Levy filmed the creators behind the scenes, revealing the first drawings, animations and music, and following the evolution of the group through to the album Demon Days."
Four Stories of St. Julian,2010,"Crime, Thriller",8.0,"Set entirely in one location, the film follows four strangers who become trapped in the elevator of St. Julian-a decrepit, inner-city building. An assassin, a religious zealot, a mother, and a thief...just moments after being confined, it becomes clear that one of them is mortally wounded. As the minutes tick by, a battle for survival ensues where each of them is forced to examine their sordid ties to St. Julian-the building, as well as the legacy of the religious figure."
Bill Bailey: Tinselworm,2008,Comedy,8.8,"A visually stunning comedy and music extravaganza. Filmed at Wembley Arena at the end of a sell-out tour of the UK, it’s everything you expect from Bill, and more. Using huge screens, films and animation by award-winning film-maker Joe Magee, plus Bill’s trademark musical inventiveness and verbal brilliance, this is quite simply the most"
Still Bill,2010,"Documentary, Music",7.0,"STILL BILL is an intimate portrait of soul legend Bill Withers, best known for his classics “Ain’t No Sunshine,” “Lean On Me,” “Lovely Day,” “Grandma’s Hands,” and “Just the Two of Us.” With his soulful delivery and warm, heartfelt sincerity, Withers has written the songs that have – and always will – resonate deeply within the fabric of our times. Filmmakers Damani Baker and Alex Vlack follow Withers and offer a unique and rare look inside the world of this fascinating man. Through concert footage, journeys to his birthplace, interviews with music legends, his family and closest friends, STILL BILL presents the story of an artist who has written some of the most beloved songs in our time and who truly understands the heart and soul of a man."
$5 a Day,2008,"Drama, Comedy",6.0,"After being released from jail, the son of a con man joins his father on the road."
Sue,1997,Drama,8.2,An unemployed ex-office worker (Anna Thomson) searching for work floats a fragile line of sanity as she struggles to find friendship and companionship. Her tenuous grasp on reality further fluctuates when a man (Matthew Powers) whom she met in a restaurant and started an affair is called to go to India for an assignment. The final straw occurs when she is evicted and moves into a sleazy hotel. She then starts seeking casual sex in unorthodox locations just to have human contact.
The Social Network,2010,Drama,7.1,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications."
Superman/Batman: Apocalypse,2010,"Action, Adventure, Animation",7.0,"Batman discovers a mysterious teen-aged girl with superhuman powers and a connection to Superman. When the girl comes to the attention of Darkseid, the evil overlord of Apokolips, events take a decidedly dangerous turn."
The Town,2010,"Crime, Drama, Thriller",7.0,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case."
Easy A,2010,Comedy,6.7,"After a little white lie about losing her virginity gets out, a clean cut high school girl sees her life paralleling Hester Prynne's in ""The Scarlet Letter,"" which she is currently studying in school - until she decides to use the rumor mill to advance her social and financial standing."
Howl,2010,Drama,6.8,"It's San Francisco in 1957, and an American masterpiece is put on trial. Howl, the film, recounts this dark moment using three interwoven threads: the tumultuous life events that led a young Allen Ginsberg to find his true voice as an artist, society's reaction (the obscenity trial), and mind-expanding animation that echoes the startling originality of the poem itself. All three coalesce in a genre-bending hybrid that brilliantly captures a pivotal moment-the birth of a counterculture."
Blue Gold: World Water Wars,2008,Documentary,6.2,"Wars of the future will be fought over water as they are over oil today, as the source of human survival enters the global marketplace and political arena. Corporate giants, private investors, and corrupt governments vie for control of our dwindling supply, prompting protests, lawsuits, and revolutions from citizens fighting for the right to survive."
Senseless,2008,"Action, Adventure, Drama, Foreign, Horror, Thriller",7.5,"Elliott Gast (Jason Behr) is quickly climbing the corporate ladder of international commerce, negotiating deals to generate large fortunes for giant corporations. His success makes him the target for political extremists who kidnap him and broadcast his imprisonment and mutilation over the internet as macabre reality show and fundraiser."
I'm Still Here,2010,"Music, Comedy, Drama",6.3,"I'm Still Here is a portrayal of a tumultuous year in the life of actor Joaquin Phoenix. With remarkable access, the documentary follows the Oscar-nominee as he announces his retirement from a successful film career in the fall of 2008 and sets off to reinvent himself as a hip-hop musician. The film is a portrait of an artist at a crossroads and explores notions of courage and creative reinvention, as well as the ramifications of a life spent in the public eye."
Girl 27,2007,Documentary,6.3,"The reclusive Patricia Douglas comes out of hiding to discuss the 1937 MGM scandal, in which the powerful film studio tricked her and over 100 other underage girls into attending a stag party, where she was raped."
Flipped,2010,"Romance, Drama",7.4,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider."
Hubble 3D,2010,Documentary,6.7,"Through the power of IMAX® 3D, Hubble 3D will enable movie-goers to journey through distant galaxies to explore the grandeur and mysteries of our celestial surroundings, and accompany space-walking astronauts as they attempt the most difficult and important tasks in NASA’s history. The film will offer an inspiring and unique look into the Hubble Space Telescope’s legacy and highlight its profound impact on the way we view the universe and ourselves. Narrated by Leonardo DiCaprio, Hubble 3D reunites the Space Station 3D filmmaking team, led by Producer/Director Toni Myers. James Neihouse, Director of Photography, also doubles as the Astronaut crew trainer. Judy Carroll is Associate Producer, and Graeme Ferguson, Co-founder of IMAX and pioneer Producer of many IMAX space films, is Executive Producer. Hubble 3D is an IMAX and Warner Bros. Pictures production, in cooperation with National Aeronautics and Space Administration (NASA)."
Legend of the Guardians: The Owls of Ga'Hoole,2010,"Animation, Adventure, Family, Fantasy",6.5,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series."
The Missing Person,2009,"Comedy, Drama, Mystery, Thriller",6.4,"Private detective John Rosow is hired to tail a man on a train from Chicago to Los Angeles. Rosow gradually uncovers the man's identity as a missing person; one of the thousands presumed dead after the 9/11 terrorist attacks on the World Trade Center. Persuaded by a large reward, Rosow is charged with bringing the missing person back to his wife in New York City."
Amigo,2010,"Drama, History, War",6.0,"Rafael, a village mayor caught in the murderous crossfire of the Philippine-American War. When U.S. troops occupy his village, Rafael comes under pressure from a tough-as-nails officer to help the Americans in their hunt for Filipino guerilla fighters. But Rafael's brother is the head of the local guerillas, and considers anyone who cooperates with the Americans to be a traitor. Rafael quickly finds himself forced to make the impossible, potentially deadly decisions faced by ordinary civilians in an occupied country."
It's Kind of a Funny Story,2010,"Comedy, Drama",6.9,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.
Middle Men,2009,"Drama, Comedy, Crime",6.5,"Chronicles Jack Harris, one of the pioneers of internet commerce, as he wrestles with his morals and struggles not to drown in a sea of conmen, mobsters, drug addicts, and pornstars."
(Untitled),2009,"Drama, Comedy, Romance",6.6,"A fashionable contemporary art gallerist in Chelsea, New York falls for a brooding new music composer in this comic satire of the state of contemporary art."
The Paper Will Be Blue,2006,"Drama, Action, Thriller, War, Foreign",7.3,"Out of enthusiasm, a Militia soldier abandons his platoon and decides to fight for the cause of the Revolution. His Lieutenant and the rest of the crew look for him during the confused night of 22-23 December 1989."
Hardcore,2004,"Crime, Drama",6.0,"Leaving behind a hard life with their families, two young girls end up in a brothel, fall in love and support one another against the adversities and violence of the night."
The Crimson Wing: Mystery of the Flamingos,2008,Documentary,7.3,"In a remote and forgotten wilderness, one of nature's last great mysteries unfolds: the birth, life and death of a million crimson-winged flamingos. Against a dramatic backdrop of never-before filmed landscapes, these secretive birds struggle to survive and prevail over danger and fate. This inspiring story, set in the extraordinary 'otherworld' of Lake Natron in northern Tanzania, the cradle of humankind, reminds us: here on earth is a universe waiting to be discovered."
Southbounders,2005,,6.0,"A young woman attempts a ""thru-hike"" of the Appalachian Trail, the 2,170 mile footpath wandering the length of the Atlantic seaboard from Maine to Georgia."
Red Bear,2002,"Crime, Drama, Thriller",6.5,"Bear has never gotten over the separation from his wife and daughter after having been convicted for armed robbery and homicide and sent to prison. Now he is out, to finally get his cut of the money and reunite with his family, or at least avenge the damage done."
My Girlfriend's Boyfriend,2010,Comedy,6.1,"When Ethan (Christopher Gorham) arrives at the airport just in time to declare his undying love for his girlfriend, love appears to have conquered all. The scene, however, is really the ending of Ethan's novel, which his agent (Carol Kane) calls ""unrealistic."" Ethan soon meets a waitress, Jesse (Alyssa Milano), and falls in love with her despite her growing devotion to Troy (Michael Landes), a charming businessman. But the line between reality and fiction becomes increasingly blurred."
Shadows,2007,"Mystery, Drama, Thriller, Horror",6.5,"A successful young doctor with a beautiful wife, a happy child, and a comfortable house finds his life suddenly changed in ways he never thought possible after being injured in a serious car accident. To the outside eye Lazar Perkov has everything -- indeed his friends and colleagues have even gone so far as to christen him with the nickname ""Lucky."" But appearances can sometimes be..."
Let Me In,2010,"Drama, Horror, Mystery",6.7,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie “Let The Right One In” which was an adaptation of a book.
Sintel,2010,"Animation, Fantasy",7.4,"A wandering warrior finds an unlikely friend in the form of a young dragon. The two develop a close bond, until one day the dragon is snatched away. She then sets out on a relentless quest to reclaim her friend, finding in the end that her quest exacts a far greater price than she had ever imagined."
Big Buck Bunny,2008,"Animation, Comedy",6.2,"Follow a day of the life of Big Buck Bunny when he meets three bullying rodents: Frank, Rinky, and Gamera. The rodents amuse themselves by harassing helpless creatures by throwing fruits, nuts and rocks at them. After the deaths of two of Bunny's favorite butterflies, and an offensive attack on Bunny himself, Bunny sets aside his gentle nature and orchestrates a complex plan for revenge."
Secretariat,2010,Drama,6.8,"Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery - with the help of veteran trainer Lucien Laurin - manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in 25 years."
Lake Mungo,2008,"Horror, Thriller",6.1,"16 year old Alice Palmer drowns in a local dam. When her body is recovered and, her grieving family buries her. The family experiences a series of strange, inexplicable events centered in and around their home. Unsettled, the Palmers seek the help of psychic and parapsychologist, Ray Kemeny. Ray discovers that Alice led a secret, double life. At Lake Mungo, Alice's secret past emerges."
Looking for Cheyenne,2005,Romance,6.2,"Cheyenne, a journalist, decides to leave Paris after being laid off and to settle down in the middle of nowhere, far from the society she hates.The trouble is that she leaves Sonia, her true love, behind. The latter, a teacher who loves her job, refuses to give up everything -including her comfort- to follow her. Sonia makes all the efforts in the world to forget Cheyenne, whether in the arms of Pierre, a charming anarchist, or in those of Béatrice, a gay woman who soon proves perverse and dangerous, only to realize that her heart belongs to Cheyenne and nobody else. If Cheyenne does not come back, Sonia feels life is not worth living any longer... Written by Guy Bellingerew found."
You Again,2010,"Comedy, Romance",6.0,"History -- make that high school -- may repeat itself when Marni learns that Joanna, the mean girl from her past, is set to be her sister-in-law. Before the wedding bells toll, Marni must show her brother that a tiger doesn't change its stripes. On Marni's side is her mother, while Joanna's backed by her wealthy aunt."
Life As We Know It,2010,"Comedy, Romance, Drama",6.6,"After a distastrous first date for caterer Holly and network sports director Messer, all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof."
Catfish,2010,Documentary,6.5,"Nev, a 24-year-old New York-based photographer, has no idea what he's in for when Abby, an eight-year-old girl from rural Michigan, contacts him on Facebook, seeking permission to paint one of his photographs. When he receives her remarkable painting, Nev begins a friendship and correspondence with Abby's family. But things really get interesting when he develops a cyber-romance with Abby's attractive older sister, Megan, a musician and model. Prompted by some startling revelations about Megan, Nev and his buddies embark on a road trip in search of the truth."
Collision,2009,"Documentary, Drama",6.0,"COLLISION carves a new path in documentary film-making as it pits leading atheist, political journalist and bestselling author Christopher Hitchens against fellow author, satirist and evangelical theologian Douglas Wilson, as they go on the road to exchange blows over the question: ""Is Christianity Good for the World?"". The two contrarians laugh, confide and argue, in public and in private, as they journey through three cities. And the film captures it all. The result is a magnetic conflict, a character-driven narrative that sparkles cinematically with a perfect match of arresting personalities and intellectual rivalry. COLLISION is directed by prolific independent filmmaker Darren Doane (Van Morrison: Astral Weeks Live at the Hollywood Bowl, The Battle For L.A., Godmoney)."
Inside Job,2010,Documentary,7.7,"A film that exposes the shocking truth behind the economic crisis of 2008. The global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. Through extensive research and interviews with major financial insiders, politicians and journalists, Inside Job traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia."
Monsters,2010,"Drama, Thriller, Science Fiction",6.2,"Six years ago NASA discovered the possibility of alien life within our solar system. A probe was launched to collect samples, but crashed upon re-entry over Central America. Soon after, new life forms began to appear and half of Mexico was quarantined as an infected zone. Today, the American and Mexican military still struggle to contain ""the creatures,"" while a journalist agrees to escort a shaken tourist through the infected zone in Mexico to the safety of the U.S. border."
Where The Red Fern Grows,2003,"Drama, Family",6.4,"Where the Red Fern Grows is the heartwarming and adventurous tale for all ages about a young boy and his quest for his own red-bone hound hunting dogs. Set in the Ozark Mountains during the Great Depression, Billy Coleman works hard and saves his earnings for 2 years to achieve his dream of buying two coonhound pups. He develops a new trust in God as he faces overwhelming challenges in adventure and tragedy roaming the river bottoms of Cherokee country with ""Old Dan"" and ""Little Ann."" The movie follows the inseparable trio as they romp relentlessly through the Ozarks, trying to tree the elusive ""Ghost"" raccoon. Their efforts prove victorious as they win the coveted gold cup in the annual coon-hunt contest, capture wily ghost coons and bravely fight a mountain lion. Through these adventures Billy realizes the meaning of true friendship, loyalty, integrity and heroics, in this timeless and poignant coming of age story."
David Cross: Bigger and Blackerer,2010,Comedy,6.1,"Bigger and Blackerer was taped during two shows, back-to-back on the same evening at Boston's Wilbur Theatre. Only by watching this video will you learn of Cross unique relationship with the deaf community, share his canny insights into the editorial machinations behind the Bible, and marvel at how well a bald, middle-aged white guy can fill out a pair of jeans."
Conviction,2010,Drama,7.0,"When Betty Anne Waters' older brother Kenny is arrested for murder and sentenced to life in 1983, Betty Anne, a Massachusetts wife and mother of two, dedicates her life to overturning the murder conviction. Convinced that her brother is innocent, Betty Anne puts herself through high school, college and, finally, law school in an 18 year quest to free Kenny. With the help of best friend Abra Rice, Betty Anne pores through suspicious evidence mounted by small town cop Nancy Taylor, meticulously retracing the steps that led to Kenny's arrest. Belief in her brother - and her quest for the truth - pushes Betty Anne and her team to uncover the facts and utilize DNA evidence with the hope of exonerating Kenny."
Dirty Girl,2010,"Drama, Comedy",6.4,"It's 1987 and Danielle, the high school 'Dirty Girl', is running away. With her is chubby, gay Clarke, a bag of flour called Joan and a Walkman full of glorious '80s tunes."
Never Let Me Go,2010,"Drama, Romance, Science Fiction",6.8,"As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them."
To the Limit,2007,Documentary,6.8,Daredevil mountain climbers on their attempt to break yet another speed climbing record.
An American Affair,2008,Drama,7.0,"In the early 1960s, teenager Adam Stafford (Cameron Bright) becomes obsessed with his new neighbor, Catherine Caswell (Gretchen Mol), a divorcée and free spirit. Stafford spies on Caswell as she meets with strange men, and, despite the warnings of his conservative parents, he begins working for her as a gardener. Amid rumors of her affair with President Kennedy, the two become close, but political intrigue surrounding her acquaintances soon infringes on their friendship."
The Long and Short of It,2003,,6.7,A workman gets some unexpected help from two people of vastly different sizes.
Tales From the Script,2009,Documentary,6.7,"Shane Black (""Lethal Weapon""), John Carpenter (""Halloween""), Frank Darabont (""The Shawshank Redemption""), William Goldman (""The Princess Bride""), Paul Schrader (""Taxi Driver""), and dozens of other Hollywood screenwriters share hilarious anecdotes and penetrating insights in ""Tales from the Script,"" the most comprehensive documentary ever made about screenwriting. By analyzing their triumphs and recalling their failures, the participants explain how successful writers develop the skills necessary for toughing out careers in one of the world's most competitive industries. They also reveal the untold stories behind some of the greatest screenplays ever written, describing their adventures with luminaries including Harrison Ford, Stanley Kubrick, Joel Silver, Martin Scorsese, and Steven Spielberg. The film was produced in tandem with the upcoming HarperCollins book of the same name."
IMAX Mummies Secrets Of The Pharohs,2007,"Drama, Documentary",6.9,"The grail is not the gold, nor the books of ancient wisdom, but the 3,000 year old DNA of the mummies, which may lead to a cure for malaria."
Bianca Beauchamp: All Access,2007,Documentary,8.0,"Documents the sub-culture of latex fetishism. ALL ACCESS offers a visit inside the private and public circles of a fetish icons. It follows Bianca Beauchamp through three days and three nights during one of the Montreal Fetish Weekend. A party at home, a book signing, and a visit to a fetish event with peeps dressed in latex from head to toe. Written by Martin Perreault"
Seven Days,2010,"Drama, Horror, Thriller",6.2,"Bruno Hamel is a thirty eight year old surgeon. He lives in Drummondville with his wife Sylvie, and their eight year-old daughter Jasmine. Like many happy people, he is leading an uneventful life until a beautiful fall afternoon, when his daughter is raped and murdered. From then on, the world of the Hamel family collapses. When the murderer is arrested, a terrible project germinates in Bruno's darkened mind. He plans to capture the ""monster"" and make him pay for his crime. The day the murderer appears in Court, Hamel, who had prepared his plan in great detail, kidnaps the monster and later sends the police a brief message stating that the rapist and murderer of his daughter was going to be tortured for 7 days and then executed. Once this task accomplished, he will then give himself up."
Jackass 3D,2010,"Comedy, Documentary, Action",6.4,"Jackass 3D is a 3-D film and the third movie of the Jackass series. It follows the same premise as the first two movies, as well as the TV series. It is a compilation of various pranks, stunts and skits. Before the movie begins, a brief introduction is made by Beavis and Butt-head explaining the 3D technology behind the movie. The intro features the cast lining up and then being attacked by various objects in slow-motion. The movie marks the 10th anniversary of the franchise, started in 2000."
Restrepo,2010,"Documentary, War",7.3,"Winner of the 2010 Sundance Film Festival Grand Jury Prize for a Documentary, Restrepo chronicles the deployment of a U.S. platoon of courageous American soldiers in Afghanistan's Korengal Valley, considered to be one of the most dangerous postings in the U.S. military."
Waiting for 'Superman',2010,Documentary,6.9,"Gripping, heartbreaking, and ultimately hopeful, Waiting for Superman is an impassioned indictment of the American school system from An Inconvenient Truth director Davis Guggenheim."
The Disappeared,2008,"Horror, Thriller",6.2,"Following the disappearance of his younger brother Tom, Matthew Ryan tries to put his life and sanity back together. However the past keeps coming back to haunt him."
Jerry Springer: The Opera,2005,Comedy,6.2,"'Jerry Springer-The Opera' tells the story of a day in the job of world famous talk-show host, Jerry Springer. Jerry has to sort out a number of guests problems; including a man who wants to dress up as a baby, a man with 3 lovers (one of them a transexual) and a fat woman who wants to be a pole dancer. However, on this particular day, something out of the ordinary will happen..."
RED,2010,"Action, Adventure, Comedy, Crime, Thriller",6.6,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants."
A Day In The Life,2009,Crime,6.0,"Onyx rapper Sticky Fingaz directs and stars in this hip-hop musical about a gangster who becomes caught up in a bloody war between two feuding crime families while struggling to leave the streets behind. When Black's family raids one of Stick's drug houses and kills two of his men, Stick is forced to choose between leaving it all behind or seeking revenge and feeding the cycle of violence."
Whisper,2007,"Crime, Drama, Horror, Thriller",6.2,"Convicted felon Max Truemont (played by Josh Holloway) is hired to execute a kidnapping of the son of one of the richest women in the state. Along with his fiancée Roxanne (played by Sarah Wayne Callies), Max joins two other strangers who were also hired by the same absent mastermind behind the kidnapping."
Drum,2004,"Action, Drama, Thriller",6.0,A hot-shot journalist is swept up in a movement to challenge Apartheid in 1950s South Africa.
Daughter from Danang,2002,Documentary,6.5,"In 1975, as the Vietnam War was ending, thousands of orphans and Amerasian children were brought to the United States as part of ""Operation Babylift."" Daughter from Danang tells the dramatic story of one of these children, Heidi Bub (a.k.a. Mai Thi Hiep), and her Vietnamese mother, Mai Thi Kim, separated at the war's end and reunited 22 years later. Heidi, now living in Tennessee - a married woman with kids - had always dreamt of a joyful reunion. When she ventures to Vietnam to meet her mother, she unknowingly embarks on an emotional pilgrimage that spans decades and distance. Unlike most reunion stories that climax with a cliché happy ending, Daughter from Danang is a real-life drama. Journeying from the Vietnam War to Pulaski, Tennessee and back to Vietnam, Daughter from Danang tensely unfolds as cultural differences and the years of separation take their toll in a riveting film about longing and the personal legacy of war."
Undisputed III : Redemption,2010,"Action, Thriller",7.3,"Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament."
Due Date,2010,"Comedy, Drama",6.2,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor."
127 Hours,2010,"Adventure, Drama, Thriller",7.0,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.
Megamind,2010,"Animation, Action, Comedy, Family, Science Fiction",6.7,"Bumbling supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
Black Swan,2010,"Drama, Thriller",7.3,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan."
Dark and Stormy Night,2009,"Horror, Comedy, Thriller, Mystery",6.3,"In the 1930s the family of old Sinas Cavinder, gathered for the reading of his will, find themselves being murdered by a mysterious phantom while two rival reporters compete for the story."
Jack Goes Boating,2010,"Comedy, Drama, Romance",6.1,"A limo driver's blind date sparks a tale of love, betrayal, friendship, and grace centered around two working-class New York City couples."
Fair Game,2010,"Drama, Thriller",6.5,"Wife and mother Valerie Plame (Naomi Watts) has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson (Sean Penn), writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel."
Habit,1996,"Horror, Thriller",6.3,"It's autumn in New York. Sam has broken up with his girlfriend and his father has recently died. World-weary and sloppy drunk, he finds temporary solace in the arms of Anna, a mysterious vampire who draws him away from his friends and into a web of addiction and madness."
Ten Skies,2004,,7.7,Ten shots of skies.
Scared Shrekless,2010,"Animation, Comedy",6.3,"Shrek challenges Donkey, Puss in Boots and his other fairy tale character friends to spend the night in Lord Farquaad's haunted castle, telling scary stories to see who can resist becoming scared and stay the longest."
Thieves by Law,2010,Foreign,7.7,Documentary about Russian Mafia.
The House,2011,"Animation, Family, Foreign",7.1,"The Korean Academy of Film Arts has produced an animation for 3 consecutive years through a collaborative project. Considering the severe reality of Korean animation in that it lacks an industrial infrastructure, ""The House"" demonstrates the possibilities of Korean animation and the efficiency of collective production. While comparing apartments in the downtown core to the shabby environment of a marginalized district, ""The House"" portrays the collapse of the spirits dwelling at the house. As such the adventure of Ga-young and the spirits in the house becomes a criticism of modern society: enlightenment via animation. Although this animation may not have the most delicate or original style, the 5 animators that worked on this film unleashed their imaginations, ultimately showcasing the power of a collective process and a pleasure of the collective imagination."
Unstoppable,2010,"Action, Thriller",6.3,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster."
Morning Glory,2010,"Comedy, Drama, Romance",6.1,"A young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in New York City. Eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories."
The Next Three Days,2010,"Romance, Drama, Thriller, Crime",6.9,"A married couple's life is turned upside down when the wife is accused of a murder. Lara Brennan is arrested for murdering her boss with whom she had an argument. It seems she was seen leaving the scene of the crime and her fingerprints were on the murder weapon. Her husband, John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. And when the strain of being separated from her family, especially her son, gets to her, John decides to break her out. So he does a lot of research to find a way."
Somewhere,2010,"Comedy, Drama",6.0,A hard-living Hollywood actor re-examines his life after his 11-year-old daughter surprises him with a visit.
